timestamp,job_portal,experience_level,interview_calls,applications_count,received_offer,recruiter_response_rate,portal_rating,likes,dislikes,data_source
,Naukri,Mid (1-3),11,77,No,Sometimes,1,,,Synthetic
,Indeed,Experienced (3+),9,62,No,Often,2,,,Synthetic
,LinkedIn,Fresher (0-1),12,63,Yes,Rarely,4,,,Synthetic
,Naukri,Fresher (0-1),5,25,No,Never,2,,,Synthetic
,Naukri,Fresher (0-1),4,56,No,Never,1,,,Synthetic
,Naukri,Mid (1-3),5,33,No,Often,1,,,Synthetic
,Naukri,Fresher (0-1),0,38,No,Often,5,,,Synthetic
,LinkedIn,Mid (1-3),4,6,No,Sometimes,3,,,Synthetic
,LinkedIn,Mid (1-3),8,58,Yes,Sometimes,3,,,Synthetic
,Indeed,Fresher (0-1),11,44,No,Sometimes,2,,,Synthetic
,LinkedIn,Mid (1-3),9,45,No,Rarely,4,,,Synthetic
,Naukri,Fresher (0-1),13,32,No,Often,3,,,Synthetic
,LinkedIn,Fresher (0-1),1,45,Yes,Sometimes,5,,,Synthetic
,Indeed,Experienced (3+),0,61,No,Rarely,2,,,Synthetic
,LinkedIn,Fresher (0-1),13,47,No,Sometimes,2,,,Synthetic
,Indeed,Fresher (0-1),9,21,No,Never,5,,,Synthetic
,LinkedIn,Mid (1-3),12,75,No,Rarely,4,,,Synthetic
,LinkedIn,Mid (1-3),10,36,No,Sometimes,5,,,Synthetic
,LinkedIn,Fresher (0-1),8,19,Yes,Never,4,,,Synthetic
,Naukri,Mid (1-3),9,20,No,Sometimes,5,,,Synthetic
,Naukri,Fresher (0-1),8,57,Yes,Rarely,5,,,Synthetic
,Naukri,Fresher (0-1),14,18,No,Rarely,1,,,Synthetic
,LinkedIn,Mid (1-3),8,47,Yes,Rarely,2,,,Synthetic
,Naukri,Mid (1-3),5,49,No,Rarely,5,,,Synthetic
,LinkedIn,Mid (1-3),14,14,No,Sometimes,5,,,Synthetic
,Other,Mid (1-3),7,15,No,Rarely,3,,,Synthetic
,Naukri,Experienced (3+),13,31,No,Sometimes,2,,,Synthetic
,LinkedIn,Mid (1-3),1,1,No,Sometimes,3,,,Synthetic
,Indeed,Fresher (0-1),14,54,Yes,Sometimes,2,,,Synthetic
,Naukri,Mid (1-3),3,3,No,Often,3,,,Synthetic
,Naukri,Fresher (0-1),0,16,Yes,Sometimes,5,,,Synthetic
,Naukri,Fresher (0-1),9,57,No,Rarely,5,,,Synthetic
,Naukri,Fresher (0-1),3,75,No,Never,1,,,Synthetic
,Other,Fresher (0-1),0,12,Yes,Rarely,3,,,Synthetic
,Indeed,Experienced (3+),7,74,Yes,Sometimes,4,,,Synthetic
,LinkedIn,Experienced (3+),0,16,No,Never,1,,,Synthetic
,Indeed,Mid (1-3),2,72,No,Sometimes,3,,,Synthetic
,Indeed,Fresher (0-1),12,76,No,Sometimes,3,,,Synthetic
,Naukri,Fresher (0-1),3,24,No,Rarely,1,,,Synthetic
,Indeed,Fresher (0-1),14,28,No,Often,5,,,Synthetic
,LinkedIn,Fresher (0-1),8,8,No,Never,3,,,Synthetic
,Indeed,Mid (1-3),14,36,No,Never,5,,,Synthetic
,Indeed,Mid (1-3),7,8,Yes,Sometimes,1,,,Synthetic
,Naukri,Mid (1-3),5,58,No,Sometimes,5,,,Synthetic
,Naukri,Fresher (0-1),13,60,No,Sometimes,2,,,Synthetic
,Naukri,Experienced (3+),9,50,No,Sometimes,4,,,Synthetic
,LinkedIn,Mid (1-3),11,28,No,Rarely,3,,,Synthetic
,Indeed,Mid (1-3),6,41,No,Often,4,,,Synthetic
,Indeed,Mid (1-3),13,64,Yes,Often,5,,,Synthetic
,Naukri,Fresher (0-1),7,27,No,Sometimes,3,,,Synthetic
,LinkedIn,Fresher (0-1),1,63,No,Rarely,5,,,Synthetic
,LinkedIn,Fresher (0-1),12,17,No,Sometimes,2,,,Synthetic
,Naukri,Mid (1-3),9,73,Yes,Rarely,1,,,Synthetic
,Naukri,Fresher (0-1),13,33,No,Never,3,,,Synthetic
,Naukri,Fresher (0-1),10,77,No,Often,2,,,Synthetic
,Other,Fresher (0-1),7,29,No,Never,2,,,Synthetic
,Naukri,Fresher (0-1),2,13,No,Often,3,,,Synthetic
,LinkedIn,Experienced (3+),6,46,No,Sometimes,5,,,Synthetic
,LinkedIn,Mid (1-3),2,35,No,Rarely,2,,,Synthetic
,Naukri,Mid (1-3),6,6,Yes,Sometimes,4,,,Synthetic
,Other,Fresher (0-1),6,69,No,Often,2,,,Synthetic
,Other,Mid (1-3),13,47,No,Sometimes,5,,,Synthetic
,Naukri,Mid (1-3),10,25,No,Often,5,,,Synthetic
,LinkedIn,Fresher (0-1),14,66,No,Sometimes,4,,,Synthetic
,Naukri,Fresher (0-1),10,10,No,Sometimes,2,,,Synthetic
,Naukri,Fresher (0-1),12,56,No,Often,5,,,Synthetic
,Naukri,Mid (1-3),1,30,No,Rarely,3,,,Synthetic
,LinkedIn,Mid (1-3),5,5,Yes,Sometimes,1,,,Synthetic
,LinkedIn,Fresher (0-1),5,33,No,Rarely,1,,,Synthetic
,Naukri,Fresher (0-1),2,65,No,Often,1,,,Synthetic
,Naukri,Mid (1-3),2,18,Yes,Often,2,,,Synthetic
,Other,Mid (1-3),14,49,No,Never,4,,,Synthetic
,Naukri,Experienced (3+),8,11,No,Sometimes,5,,,Synthetic
,Naukri,Mid (1-3),6,26,No,Often,3,,,Synthetic
,LinkedIn,Fresher (0-1),4,63,No,Rarely,3,,,Synthetic
,Other,Fresher (0-1),11,59,No,Sometimes,2,,,Synthetic
,Naukri,Mid (1-3),9,27,Yes,Often,1,,,Synthetic
,LinkedIn,Fresher (0-1),6,49,No,Never,2,,,Synthetic
,Indeed,Mid (1-3),8,77,No,Sometimes,4,,,Synthetic
,Naukri,Experienced (3+),0,33,Yes,Rarely,4,,,Synthetic
,LinkedIn,Mid (1-3),1,1,No,Often,5,,,Synthetic
,Naukri,Fresher (0-1),5,21,No,Often,5,,,Synthetic
,LinkedIn,Mid (1-3),9,55,No,Often,4,,,Synthetic
,LinkedIn,Mid (1-3),6,6,No,Sometimes,4,,,Synthetic
,LinkedIn,Mid (1-3),11,69,No,Often,4,,,Synthetic
,Naukri,Experienced (3+),5,5,No,Often,2,,,Synthetic
,Indeed,Fresher (0-1),0,3,No,Rarely,4,,,Synthetic
,Naukri,Experienced (3+),12,53,No,Often,3,,,Synthetic
,Naukri,Experienced (3+),3,23,Yes,Never,1,,,Synthetic
,Naukri,Fresher (0-1),8,53,No,Sometimes,4,,,Synthetic
,LinkedIn,Fresher (0-1),3,37,Yes,Rarely,1,,,Synthetic
,LinkedIn,Fresher (0-1),9,74,Yes,Never,2,,,Synthetic
,Naukri,Fresher (0-1),2,74,No,Never,1,,,Synthetic
,LinkedIn,Fresher (0-1),8,17,No,Sometimes,2,,,Synthetic
,Naukri,Mid (1-3),12,78,No,Rarely,3,,,Synthetic
,LinkedIn,Fresher (0-1),1,73,No,Sometimes,2,,,Synthetic
,Naukri,Fresher (0-1),1,1,No,Never,2,,,Synthetic
,LinkedIn,Experienced (3+),3,51,No,Rarely,5,,,Synthetic
,Naukri,Fresher (0-1),14,45,Yes,Sometimes,4,,,Synthetic
,Other,Experienced (3+),5,77,No,Often,4,,,Synthetic
,Naukri,Fresher (0-1),1,4,Yes,Rarely,3,,,Synthetic
,Naukri,Fresher (0-1),14,62,No,Sometimes,3,,,Synthetic
,Naukri,Mid (1-3),7,65,Yes,Often,4,,,Synthetic
,Other,Mid (1-3),7,32,No,Sometimes,5,,,Synthetic
,Indeed,Experienced (3+),0,34,Yes,Rarely,4,,,Synthetic
,Naukri,Mid (1-3),11,72,No,Never,5,,,Synthetic
,LinkedIn,Experienced (3+),2,39,No,Often,3,,,Synthetic
,Indeed,Fresher (0-1),9,26,No,Never,1,,,Synthetic
,LinkedIn,Fresher (0-1),8,34,Yes,Often,3,,,Synthetic
,LinkedIn,Mid (1-3),4,54,No,Sometimes,3,,,Synthetic
,Naukri,Experienced (3+),3,3,Yes,Often,2,,,Synthetic
,Naukri,Experienced (3+),3,50,No,Often,2,,,Synthetic
,Indeed,Fresher (0-1),9,12,Yes,Often,2,,,Synthetic
,Other,Fresher (0-1),1,65,Yes,Rarely,2,,,Synthetic
,LinkedIn,Mid (1-3),10,54,Yes,Often,5,,,Synthetic
,Naukri,Fresher (0-1),5,5,No,Sometimes,4,,,Synthetic
,Naukri,Experienced (3+),10,57,No,Sometimes,1,,,Synthetic
,LinkedIn,Experienced (3+),12,17,Yes,Sometimes,3,,,Synthetic
,Indeed,Fresher (0-1),5,47,No,Often,5,,,Synthetic
,Indeed,Mid (1-3),4,23,No,Often,1,,,Synthetic
,Indeed,Mid (1-3),8,79,No,Often,5,,,Synthetic
